university_name,founded_year,course_name,language,mode,fee_domestic,fee_international
Azerbaijan Architecture and Construction University,1975,Mathematics,Azerbaijani,Full-time,3104.0,3104.0
Azerbaijan Architecture and Construction University,1975,Technology,Azerbaijani,Full-time,3104.0,3104.0
Azerbaijan Architecture and Construction University,1975,Transportation,Azerbaijani,Full-time,3104.0,3104.0
Azerbaijan State University of Economics UNEC,1930,Accounting,Azerbaijani,Full-time,3060.0,3060.0
Azerbaijan State University of Economics UNEC,1930,Administration,Azerbaijani,Full-time,3060.0,3060.0
Azerbaijan State University of Economics UNEC,1930,Business,Azerbaijani,Full-time,3060.0,3060.0
Azerbaijan State University of Economics UNEC,1930,Design,Azerbaijani,Full-time,3060.0,3060.0
Azerbaijan State University of Economics UNEC,1930,Ecology,Azerbaijani,Full-time,3060.0,3060.0
Azerbaijan State University of Economics UNEC,1930,Economics,Azerbaijani,Full-time,3060.0,3060.0
Azerbaijan State University of Economics UNEC,1930,Engineering,Azerbaijani,Full-time,3060.0,3060.0
Azerbaijan State University of Economics UNEC,1930,Finance and Banking,Azerbaijani,Full-time,3060.0,3060.0
Azerbaijan State University of Economics UNEC,1930,Hospitality,Azerbaijani,Full-time,3060.0,3060.0
Azerbaijan State University of Economics UNEC,1930,IT,Azerbaijani,Full-time,3060.0,3060.0
Azerbaijan State University of Economics UNEC,1930,International Relations,Azerbaijani,Full-time,3060.0,3060.0
Azerbaijan State University of Economics UNEC,1930,Management,Azerbaijani,Full-time,3060.0,3060.0
Azerbaijan State University of Economics UNEC,1930,Marketing,Azerbaijani,Full-time,3060.0,3060.0
Azerbaijan State University of Economics UNEC,1930,Natural Sciences,Azerbaijani,Full-time,3060.0,3060.0
Azerbaijan State University of Economics UNEC,1930,Technology,Azerbaijani,Full-time,3060.0,3060.0
Azerbaijan State University of Economics UNEC,1930,Tourism,Azerbaijani,Full-time,3060.0,3060.0
Azerbaijan State University of Economics UNEC,1930,Environmental Studies,Azerbaijani,Full-time,3060.0,3060.0
Lankaran State University,1992,Agriculture,Azerbaijani,Full-time,0.0,1700.0
Lankaran State University,1992,Economics,Azerbaijani,Full-time,1500.0,1700.0
Lankaran State University,1992,Engineering,Azerbaijani,Full-time,1400.0,1700.0
Lankaran State University,1992,Humanities,Azerbaijani,Full-time,1300.0,1700.0
Lankaran State University,1992,Management,Azerbaijani,Full-time,1500.0,1700.0
Lankaran State University,1992,Mathematics,Azerbaijani,Full-time,1300.0,1700.0
Lankaran State University,1992,Natural Sciences,Azerbaijani,Part-time,1200.0,1700.0
Lankaran State University,1992,Agriculture,Azerbaijani,Full-time,1600.0,1700.0
Lankaran State University,1992,Economics,Azerbaijani,Full-time,1600.0,1700.0
Lankaran State University,1992,Engineering,Azerbaijani,Full-time,1500.0,1700.0
Lankaran State University,1992,Humanities,Azerbaijani,Full-time,1500.0,1700.0
Lankaran State University,1992,Management,Azerbaijani,Full-time,1600.0,1700.0
Lankaran State University,1992,Mathematics,Azerbaijani,Full-time,1800.0,1700.0
Lankaran State University,1992,Natural Sciences,Azerbaijani,Full-time,1500.0,1700.0
Lankaran State University,1992,Economics,Azerbaijani,Full-time,1200.0,1700.0
Lankaran State University,1992,Engineering,Azerbaijani,Full-time,1200.0,1700.0
Lankaran State University,1992,Humanities,Azerbaijani,Full-time,1200.0,1700.0
Lankaran State University,1992,Mathematics,Azerbaijani,Full-time,1200.0,1700.0
Lankaran State University,1992,Natural Sciences,Azerbaijani,Full-time,1200.0,1700.0
Nakchivan  University,1999,Accounting,Azerbaijani,Full-time,833.0,833.0
Nakchivan  University,1999,Computer Science,Azerbaijani,Full-time,833.0,833.0
Nakchivan  University,1999,Economics,Azerbaijani,Full-time,833.0,833.0
Nakchivan  University,1999,Education and Teaching,Azerbaijani,Full-time,833.0,833.0
Nakchivan  University,1999,Finance and Banking,Azerbaijani,Full-time,833.0,833.0
Nakchivan  University,1999,Hospitality,Azerbaijani,Full-time,833.0,833.0
Nakchivan  University,1999,IT,Azerbaijani,Full-time,833.0,833.0
Nakchivan  University,1999,International Relations,Azerbaijani,Full-time,833.0,833.0
Nakchivan  University,1999,Management,Azerbaijani,Full-time,833.0,833.0
Nakchivan  University,1999,Mathematics,Azerbaijani,Full-time,833.0,833.0
Nakchivan  University,1999,Philology,Azerbaijani,Full-time,833.0,833.0
Nakchivan  University,1999,Physical Education,Azerbaijani,Full-time,833.0,833.0
Nakchivan  University,1999,Sports,Azerbaijani,Full-time,833.0,833.0
Nakchivan  University,1999,Tourism,Azerbaijani,Full-time,833.0,833.0
Nakhchivan State University,1967,Accounting,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Agriculture,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Applied Sciences and Professions,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Architecture,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Arts,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Economics,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Education and Teaching,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Engineering,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Environmental Studies,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,History,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Hospitality,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,IT,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,International Relations,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Journalism,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Law and Jurisprudence,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Management,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Mathematics,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Medicine,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Natural Sciences,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Philology,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Physical Education,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Physics,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Sports,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Tourism,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Archeology,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Biology,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,Chemistry,Azerbaijani,Full-time,794.0,794.0
Nakhchivan State University,1967,PR,Azerbaijani,Full-time,794.0,794.0
Baku State University,1919,Applied Sciences and Professions,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Archeology,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Biology,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Chemistry,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Computer Science,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Culturology,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Earth Sciences,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Ecology,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Economics,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Education and Teaching,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Engineering,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Environmental Studies,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,History,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Hospitality,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,International Relations,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Journalism,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Law and Jurisprudence,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Management,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Mathematics,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Philology,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Philosophy,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Physics,Azerbaijani,Full-time,3189.0,3189.0
Baku State University,1919,Sociology,Azerbaijani,Full-time,3189.0,3189.0
